t,Value
2000-01-01T00:00:00,90
2000-01-01T01:00:00,91
2000-01-01T02:00:00,93
2000-01-01T03:00:00,95
2000-01-01T04:00:00,101
2000-01-01T05:00:00,128
2000-01-01T06:00:00,133
2000-01-01T07:00:00,135
2000-01-01T08:00:00,130
2000-01-01T09:00:00,107
2000-01-01T10:00:00,80
2000-01-01T11:00:00,55
2000-01-01T12:00:00,50
2000-01-01T13:00:00,49
2000-01-01T14:00:00,51
2000-01-01T15:00:00,59
2000-01-01T16:00:00,112
2000-01-01T17:00:00,130
2000-01-01T18:00:00,141
2000-01-01T19:00:00,148
2000-01-01T20:00:00,150
2000-01-01T21:00:00,139
2000-01-01T22:00:00,121
2000-01-01T23:00:00,107
